hidden_sizes,learning_rate,dropout,batch_size,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
"[256, 128, 64, 128, 256]",0.0005,0.4,128,99769.01090247845,-0.0023098909752155305,154,0.44155844155844154,-0.00852780468920944,0.27086583938048264,57.7
"[128, 64, 32, 64, 128]",0.001,0.3,64,99744.32128355779,-0.0025567871644221305,209,0.44976076555023925,-0.009456230639894536,0.2703812186681866,87.3
"[256, 128, 256]",0.0005,0.3,128,99700.28489944624,-0.0029971510055375986,219,0.4885844748858447,-0.01110329427661183,0.2699334927878881,31.9
"[128, 64, 32, 64, 128]",0.0001,0.3,128,100091.04317849997,0.0009104317849996733,106,0.5377358490566038,-0.003480424225925316,0.26158644058904146,90.3
"[256, 128, 256]",0.0001,0.3,256,99780.491893585,-0.0021950810641499993,202,0.49504950495049505,-0.008404232728541516,0.26118756286880424,35.2
"[128, 64, 32, 64, 128]",0.0005,0.4,64,99911.7227881911,-0.0008827721180890512,184,0.4945652173913043,-0.0034829956155036923,0.2534519751215333,152.4
"[256, 128, 64, 128, 256]",0.0001,0.4,64,99875.07074143179,-0.0012492925856821238,168,0.4523809523809524,-0.0049385974909901265,0.2529650549495696,182.9
"[256, 128, 256]",0.001,0.3,64,99752.19796416508,-0.0024780203583491677,230,0.4652173913043478,-0.009873970121547004,0.25096494397340996,54.8
"[256, 128, 256]",0.0001,0.4,128,99735.12305217845,-0.002648769478215545,194,0.4484536082474227,-0.010814163240578378,0.2449352223828535,63.1
"[64, 32, 64]",0.0001,0.3,128,99865.14012954487,-0.0013485987045512592,206,0.5048543689320388,-0.005602678338155864,0.24070607362320107,77.7
"[128, 64, 128]",0.001,0.2,128,100333.78235989036,0.003337823598903633,241,0.5435684647302904,-0.015093822270986101,0.22113839284564255,33.6
"[256, 128, 256]",0.0005,0.2,128,99687.18974679562,-0.0031281025320438493,222,0.5225225225225225,-0.014195421955392695,0.22035995420731508,32.4
