hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,val_loss,val_acc,time_s
32,3,0.0001,0.4,60,128,0.9773717522621155,0.40131578947368424,9.1
128,1,0.0005,0.2,20,128,0.9777600467205048,0.3881578947368421,2.0
64,2,0.001,0.2,60,128,0.9780436158180237,0.39473684210526316,1.8
64,3,0.0005,0.3,20,128,0.9785105288028717,0.4407894736842105,3.2
128,3,0.001,0.4,20,128,0.9786267280578613,0.4276315789473684,1.8
64,1,0.0005,0.2,60,128,0.9786267578601837,0.40789473684210525,2.1
128,1,0.001,0.2,40,128,0.9787331819534302,0.3815789473684211,1.4
128,3,0.001,0.3,60,128,0.9792206585407257,0.3881578947368421,1.4
64,1,0.001,0.4,20,256,0.979706883430481,0.39473684210526316,1.5
64,2,0.0001,0.2,20,256,0.9797095656394958,0.40789473684210525,5.0
128,3,0.0001,0.2,60,256,0.979929506778717,0.40789473684210525,4.7
64,1,0.001,0.3,60,128,0.9800536632537842,0.39473684210526316,1.6
128,3,0.0001,0.4,60,256,0.9801502227783203,0.40131578947368424,4.9
64,2,0.0001,0.2,60,256,0.9805920720100403,0.3684210526315789,4.8
32,1,0.0001,0.4,60,128,0.9809696078300476,0.4342105263157895,7.3
32,1,0.001,0.2,20,128,0.981093019247055,0.4407894736842105,3.4
128,1,0.0005,0.3,20,128,0.9813922047615051,0.39473684210526316,1.7
64,1,0.001,0.4,60,128,0.9817347824573517,0.40131578947368424,1.7
64,2,0.0001,0.3,20,256,0.9818279147148132,0.4144736842105263,5.1
32,2,0.001,0.4,20,256,0.9820582866668701,0.375,2.0
32,1,0.001,0.4,20,128,0.9820892214775085,0.42105263157894735,2.1
64,2,0.0001,0.3,60,256,0.9824727177619934,0.3684210526315789,4.9
64,3,0.0001,0.3,40,128,0.98252272605896,0.40131578947368424,9.1
32,1,0.001,0.3,20,128,0.9826507866382599,0.3618421052631579,2.1
64,3,0.0005,0.2,20,128,0.9827321171760559,0.4342105263157895,2.3
128,3,0.001,0.2,60,256,0.9827800989151001,0.4605263157894737,1.5
128,3,0.0005,0.2,60,256,0.9829177260398865,0.4407894736842105,1.5
64,1,0.001,0.2,40,256,0.9829286932945251,0.3881578947368421,2.1
64,2,0.0001,0.4,60,256,0.9830383062362671,0.4276315789473684,4.8
128,3,0.0005,0.3,60,256,0.9830913543701172,0.4407894736842105,1.6
32,2,0.0001,0.4,60,128,0.9831715226173401,0.40131578947368424,8.4
64,2,0.0005,0.3,40,128,0.983273446559906,0.4144736842105263,2.4
64,2,0.001,0.3,20,256,0.9834286570549011,0.46710526315789475,1.5
32,3,0.0005,0.2,40,256,0.9836293458938599,0.3618421052631579,3.0
64,2,0.0005,0.2,40,128,0.9836720526218414,0.4144736842105263,2.5
128,1,0.001,0.2,20,128,0.98404261469841,0.35526315789473684,1.5
32,2,0.0001,0.3,60,128,0.9842421114444733,0.40131578947368424,8.2
128,3,0.0005,0.4,60,256,0.9844066500663757,0.4276315789473684,1.5
64,2,0.001,0.4,40,256,0.9844570159912109,0.45394736842105265,1.4
64,2,0.0005,0.2,20,256,0.9845062494277954,0.40131578947368424,1.8
128,1,0.001,0.3,40,128,0.9848223924636841,0.40789473684210525,1.3
64,1,0.001,0.2,40,128,0.984967440366745,0.3684210526315789,1.8
32,1,0.0005,0.2,20,128,0.9850811958312988,0.4144736842105263,2.7
128,2,0.0001,0.2,60,128,0.9851435422897339,0.4144736842105263,4.7
128,2,0.0001,0.3,60,128,0.985144704580307,0.4144736842105263,4.7
64,1,0.001,0.4,40,256,0.9851912260055542,0.3815789473684211,1.9
64,1,0.0005,0.4,40,128,0.9852932691574097,0.40131578947368424,3.0
128,1,0.0005,0.4,20,128,0.9854108989238739,0.40789473684210525,1.8
128,3,0.001,0.4,60,256,0.9854723811149597,0.4473684210526316,1.4
64,1,0.0005,0.3,40,128,0.9855240285396576,0.3881578947368421,2.5
64,2,0.001,0.3,40,256,0.9856528043746948,0.42105263157894735,1.5
64,2,0.0005,0.4,40,128,0.9857501685619354,0.4144736842105263,2.4
32,2,0.0001,0.2,60,128,0.9857572019100189,0.3815789473684211,8.1
64,2,0.001,0.3,20,128,0.9858671426773071,0.3815789473684211,1.7
64,3,0.0005,0.3,20,256,0.9858973026275635,0.45394736842105265,1.8
128,3,0.0001,0.4,20,128,0.9858973026275635,0.34868421052631576,4.3
64,2,0.001,0.2,40,256,0.9864476919174194,0.4473684210526316,1.5
64,3,0.0005,0.4,20,256,0.9866622686386108,0.4144736842105263,2.2
128,2,0.001,0.3,20,128,0.9869681894779205,0.40131578947368424,1.9
128,3,0.0005,0.2,20,128,0.9870690703392029,0.4144736842105263,2.2
64,2,0.0005,0.4,60,256,0.9871801137924194,0.3881578947368421,1.7
64,1,0.001,0.3,40,256,0.9872448444366455,0.4144736842105263,1.9
128,3,0.0005,0.4,40,256,0.9873199462890625,0.45394736842105265,1.7
32,2,0.001,0.2,40,256,0.9873853325843811,0.40131578947368424,1.9
128,1,0.0005,0.2,40,128,0.9875366687774658,0.375,2.0
128,1,0.001,0.4,40,128,0.9875458478927612,0.3618421052631579,1.7
64,3,0.001,0.4,20,256,0.9877609014511108,0.47368421052631576,1.4
32,1,0.0005,0.3,20,128,0.9878415763378143,0.42105263157894735,2.8
32,1,0.0001,0.2,20,128,0.9879542291164398,0.4276315789473684,7.5
64,1,0.0005,0.2,40,128,0.9880022704601288,0.3684210526315789,2.5
64,1,0.001,0.2,20,128,0.9880700409412384,0.35526315789473684,1.8
64,2,0.001,0.4,20,128,0.9881075620651245,0.39473684210526316,1.7
64,2,0.0005,0.3,60,256,0.9881236553192139,0.40131578947368424,1.7
64,3,0.0005,0.2,20,256,0.9883555769920349,0.45394736842105265,2.0
64,1,0.001,0.3,20,256,0.9884418845176697,0.375,1.5
32,1,0.0005,0.4,20,128,0.9884695112705231,0.40789473684210525,3.1
128,3,0.001,0.3,20,128,0.9884954690933228,0.42105263157894735,1.8
64,2,0.0001,0.2,40,256,0.988520085811615,0.47368421052631576,5.1
64,2,0.0005,0.2,60,256,0.988572359085083,0.40789473684210525,1.8
128,1,0.0005,0.4,40,128,0.9887349605560303,0.34868421052631576,2.3
64,2,0.001,0.2,20,128,0.9890143871307373,0.375,1.6
32,3,0.0005,0.4,20,128,0.9890367686748505,0.3684210526315789,3.1
128,2,0.0001,0.4,60,128,0.9893888533115387,0.40789473684210525,2.2
32,3,0.0005,0.2,20,128,0.9894124269485474,0.375,3.9
64,3,0.001,0.3,20,256,0.989561915397644,0.46710526315789475,1.4
128,3,0.0005,0.4,20,128,0.989605039358139,0.375,2.0
